,name,address,latitude,longitude,website,phone_number,,
,Centennial Apartments,"380 N 1020 E St, Provo, UT 84606",40.238929,-111.640555,centennialapartments.com,(801) 374-1700,
,King Henry Apartments,"1130 E 450 N, Provo, UT 84606",35.754508,-78.800543,kinghenryapts.com,(801) 370-2400,
,University Villa Apartments,"865 North 160, West Provo, UT 84604",40.245791,-111.661205,universityvillaapt.com,(801) 373-9806,
,The Isles,"27 N 300 E #101, Provo, UT 84606",40.234360,-111.653410,islesliving.com,(801) 852-9880,
,Park Plaza Apartments,"910 900 E, Provo, UT 84604",40.246043,-111.642821,parkplaceprovo.com,(801) 410-1356,
,Liberty Square Apartments,"556 N 400 E, Provo, UT 84606",40.241175,-111.651541,chooseliberty.com,(801) 374-7900,
,The Village At South Campus,"602 E 600 N St, Provo, UT 84606",40.241084,-111.647744,thevillageatsouthcampus.com,"(801) 335-4510",
,The Branbury Apartments,"449 W 1720 N, Provo, UT 84604",40.256995,-111.666796,"thebranbury.com","(855) 711-3099",
,Cambridge Court Apartments,"1425 N University Ave, Provo, UT ",40.253127,-111.659800,"cambridgecourtapt.com",(801) 342-4999,
,Carriage Cove Apartments,"606 W 1720 N, Provo, UT 84604",40.257589,-111.669474,"carriagecove.com","(801) 374-2700",
,Foreign Language Student Residence,"1950 Temple View Dr, Provo, UT 84604",40.259717,-111.642216,"byu.edu","(801) 422-3765",
,Moon Apartments,"680 N 300 E, Provo, UT 84606",40.242636,111.653075,moonapts.com,(801) 371-6150,
,Old Academy Apartments,"47 E 600 N St, Provo, UT 84606",40.242100,-111.657795,aspenridgemanagement.com,(801) 607-1680,
,FCS Rentals,"495 N University Ave #100, Provo, UT 84601",40.240217,-111.658976,fcsrentals.com,(801) 373-9678,
,9 and 9 Lofts,"876 E 900 N St, Provo, UT 84604",40.245846,-111.643669,9and9lofts.com,(949) 353-0230,
,Park Plaza Apartments,"910 900 E, Provo, UT 84604",40.246043,111.642821,provoparkplaza.com,(801) 999-0371,
,Redstone Residential,"1322 Freedom Blvd 200 W, Provo, UT 84604",40.252085,-111.661527,redstoneresidential.com,(801) 618-3490,
,Alpine Village,"1378 Freedom Blvd 200 W, Provo, UT 84604",40.252513,-111.661102,myalpinevillage.com,(801) 623-6093,
,Cambridge Court Apartments,"1425 N University Ave, Provo, UT 84604",40.253127,-111.659800,cambridgecourtapt.com,(801) 342-4999,
,The Riviera Apartments,"1505 N Canyon Rd, Provo, UT 84604",40.254601,-111.657748,livetheriv.com,(801) 377-5277,
,The Lodges at Glenwood,"1565 N University Ave, Provo, UT 84604",40.254540,-111.659429,glenwoodapt.com,(801) 374-9090,
,Stadium Terrace Apartments,"1960 N Canyon Rd, Provo, UT 84604",40.260158,-111.655785,stprovo.com,(801) 371-6900,
